JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,RPLWBP,RPWBP,RPBLOK3,RPBEBAN,RPPTL,RPBPJU,RPPLN,RPTAG,RPTAG_MAT,RPREDUKSI,RPANGS,RPBK
120.0,30,24,0,54,5070.0,8640.0,0.0,4950.0,18660.0,0.0,18660.0,18660.0,18660.0,0.0,0,1
131.11,30,29,0,59,5070.0,10440.0,0.0,4950.0,20460.0,0.0,20460.0,20460.0,20460.0,0.0,0,1
962.22,30,30,373,433,5070.0,10800.0,184635.0,4950.0,205455.0,0.0,205455.0,205455.0,205455.0,0.0,0,0
95.55,30,13,0,43,5070.0,4680.0,0.0,4950.0,14700.0,0.0,14700.0,14700.0,14700.0,0.0,0,1
80.0,30,6,0,36,5070.0,2160.0,0.0,4950.0,12180.0,0.0,12180.0,12180.0,12180.0,0.0,0,1
240.0,30,30,48,108,5070.0,10800.0,23760.0,4950.0,44580.0,0.0,44580.0,44580.0,44580.0,0.0,0,1
200.0,30,30,30,90,5070.0,10800.0,14850.0,4950.0,35670.0,0.0,35670.0,35670.0,35670.0,0.0,0,1
671.11,30,30,242,302,5070.0,10800.0,119790.0,4950.0,140610.0,0.0,140610.0,140610.0,140610.0,0.0,0,1
35.55,16,0,0,16,2704.0,0.0,0.0,4950.0,7654.0,0.0,7654.0,7654.0,7654.0,0.0,0,1
268.88,30,30,61,121,5070.0,10800.0,30195.0,4950.0,51015.0,0.0,51015.0,51015.0,51015.0,0.0,0,1
273.33,30,30,63,123,5070.0,10800.0,31185.0,4950.0,52005.0,0.0,52005.0,52005.0,52005.0,0.0,0,0
102.22,30,16,0,46,5070.0,5760.0,0.0,4950.0,15780.0,0.0,15780.0,15780.0,15780.0,0.0,0,1
395.55,30,30,118,178,5070.0,10800.0,58410.0,4950.0,79230.0,0.0,79230.0,79230.0,79230.0,0.0,0,0
226.66,30,30,42,102,5070.0,10800.0,20790.0,4950.0,41610.0,0.0,41610.0,41610.0,41610.0,0.0,0,1
388.88,30,30,115,175,5070.0,10800.0,56925.0,4950.0,77745.0,0.0,77745.0,77745.0,77745.0,0.0,0,0
97.77,30,14,0,44,5070.0,5040.0,0.0,4950.0,15060.0,0.0,15060.0,15060.0,15060.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,297.0,4950.0,5247.0,5247.0,0.0,0,1
244.44,30,30,50,110,5070.0,10800.0,24750.0,4950.0,45570.0,0.0,45570.0,45570.0,45570.0,0.0,0,1
122.22,30,25,0,55,5070.0,9000.0,0.0,4950.0,19020.0,1141.0,19020.0,20161.0,20161.0,0.0,0,1
182.22,30,30,22,82,5070.0,10800.0,10890.0,4950.0,31710.0,0.0,31710.0,31710.0,31710.0,0.0,0,1
246.66,30,30,51,111,5070.0,10800.0,25245.0,4950.0,46065.0,0.0,46065.0,46065.0,46065.0,0.0,0,1
320.0,30,30,84,144,5070.0,10800.0,41580.0,4950.0,62400.0,3744.0,62400.0,66144.0,66144.0,0.0,0,1
657.77,30,30,236,296,5070.0,10800.0,116820.0,4950.0,137640.0,0.0,137640.0,137640.0,137640.0,0.0,0,0
286.66,30,30,69,129,5070.0,10800.0,34155.0,4950.0,54975.0,0.0,54975.0,54975.0,54975.0,0.0,0,1
315.55,30,30,82,142,5070.0,10800.0,40590.0,4950.0,61410.0,0.0,61410.0,61410.0,61410.0,0.0,0,1
100.0,30,15,0,45,5070.0,5400.0,0.0,4950.0,15420.0,0.0,15420.0,15420.0,15420.0,0.0,0,1
255.55,30,30,55,115,5070.0,10800.0,27225.0,4950.0,48045.0,0.0,48045.0,48045.0,48045.0,0.0,0,1
171.11,30,30,17,77,5070.0,10800.0,8415.0,4950.0,29235.0,0.0,29235.0,29235.0,29235.0,0.0,0,1
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
335.55,30,30,91,151,5070.0,10800.0,45045.0,4950.0,65865.0,0.0,65865.0,65865.0,65865.0,0.0,0,0
53.33,24,0,0,24,4056.0,0.0,0.0,4950.0,9006.0,0.0,9006.0,9006.0,9006.0,0.0,0,1
615.55,30,30,217,277,5070.0,10800.0,107415.0,4950.0,128235.0,0.0,128235.0,128235.0,128235.0,0.0,0,0
0.0,0,0,0,0,0.0,0.0,0.0,4950.0,4950.0,0.0,4950.0,4950.0,4950.0,0.0,0,1
108.88,30,19,0,49,5070.0,6840.0,0.0,4950.0,16860.0,1012.0,16860.0,17872.0,17872.0,0.0,0,1
266.66,30,30,60,120,5070.0,10800.0,29700.0,4950.0,50520.0,0.0,50520.0,50520.0,50520.0,0.0,0,1
211.11,30,30,35,95,5070.0,10800.0,17325.0,4950.0,38145.0,2289.0,38145.0,40434.0,40434.0,0.0,0,1
162.22,30,30,13,73,5070.0,10800.0,6435.0,4950.0,27255.0,0.0,27255.0,27255.0,27255.0,0.0,0,1
222.22,30,30,40,100,5070.0,10800.0,19800.0,4950.0,40620.0,0.0,40620.0,40620.0,40620.0,0.0,0,1
106.66,30,18,0,48,5070.0,6480.0,0.0,4950.0,16500.0,0.0,16500.0,16500.0,16500.0,0.0,0,1
295.55,30,30,73,133,5070.0,10800.0,36135.0,4950.0,56955.0,0.0,56955.0,56955.0,56955.0,0.0,0,1
53.33,24,0,0,24,4056.0,0.0,0.0,4950.0,9006.0,0.0,9006.0,9006.0,9006.0,0.0,0,1
62.22,28,0,0,28,4732.0,0.0,0.0,4950.0,9682.0,0.0,9682.0,9682.0,9682.0,0.0,0,1
128.88,30,28,0,58,5070.0,10080.0,0.0,4950.0,20100.0,0.0,20100.0,20100.0,20100.0,0.0,0,1
