JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,KWHKVARH,RPLWBP,RPWBP,RPBLOK3,RPKVARH,RPBEBAN,RPPTL,RPPPN,RPBPJU,RPTRAFO,RPSEWATRAFO,RPSEWAKAP,RPANGSA,RPANGSB,RPANGSC,RPMAT,RPPLN,RPTAG,RPTAG_MAT,RPPRODUKSI,RPSUBSIDI,RPBK1,RPBK2,RPBK3,RPTDLLAMA,RPTDLBARU,RPSELISIH,RPREDUKSI,RPDISKON,RPPPN_R3,RPPPN_BPTRAFO,RPPPN_SEWATRAFO,RPPPN_OPSPARAREL,RPPPN_SEWAKAP,RPPPN_LAIN
"120,00",30,24,0,54,"0,00","5070,00","8640,00","0,00","0,00","4950,00","18660,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"18660,00","18660,00","18660,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"87,77",20,40,19,79,"0,00","5500,00","17800,00","9405,00","0,00","18000,00","50705,00","0,00","3042,00",0,"0,00",0,"0,00","0,00","0,00",0,"50705,00","53747,00","53747,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"131,11",30,29,0,59,"0,00","5070,00","10440,00","0,00","0,00","4950,00","20460,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"20460,00","20460,00","20460,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"242,22",20,40,158,218,"0,00","5500,00","17800,00","78210,00","0,00","18000,00","119510,00","0,00","7171,00",0,"0,00",0,"0,00","0,00","0,00",0,"119510,00","126681,00","126681,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"124,44",20,40,52,112,"0,00","5500,00","17800,00","25740,00","0,00","18000,00","67040,00","0,00","4022,00",0,"0,00",0,"0,00","0,00","0,00",0,"67040,00","71062,00","71062,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"962,22",30,30,373,433,"0,00","5070,00","10800,00","184635,00","0,00","4950,00","205455,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"205455,00","205455,00","205455,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"176,66",20,40,99,159,"0,00","5500,00","17800,00","49005,00","0,00","18000,00","90305,00","0,00","5418,00",0,"0,00",0,"0,00","0,00","0,00",0,"90305,00","95723,00","95723,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"153,33",20,40,78,138,"0,00","5500,00","17800,00","38610,00","0,00","18000,00","79910,00","0,00","4795,00",0,"0,00",0,"0,00","0,00","0,00",0,"79910,00","84705,00","84705,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"95,55",20,40,26,86,"0,00","5500,00","17800,00","12870,00","0,00","18000,00","54170,00","0,00","3250,00",0,"0,00",0,"0,00","0,00","0,00",0,"54170,00","57420,00","57420,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"178,88",20,40,101,161,"0,00","5500,00","17800,00","49995,00","0,00","18000,00","91295,00","0,00","5478,00",0,"0,00",0,"0,00","0,00","0,00",0,"91295,00","96773,00","96773,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"145,55",20,40,71,131,"0,00","5500,00","17800,00","35145,00","0,00","18000,00","76445,00","0,00","4587,00",0,"0,00",0,"0,00","0,00","0,00",0,"76445,00","81032,00","81032,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"196,66",20,40,117,177,"0,00","5500,00","17800,00","57915,00","0,00","18000,00","99215,00","0,00","5953,00",0,"0,00",0,"0,00","0,00","0,00",0,"99215,00","105168,00","105168,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"116,66",20,40,45,105,"0,00","5500,00","17800,00","22275,00","0,00","18000,00","63575,00","0,00","3815,00",0,"0,00",0,"0,00","0,00","0,00",0,"63575,00","67390,00","67390,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"253,33",20,40,168,228,"0,00","5500,00","17800,00","83160,00","0,00","18000,00","124460,00","0,00","7468,00",0,"0,00",0,"0,00","0,00","0,00",0,"124460,00","131928,00","131928,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"95,55",30,13,0,43,"0,00","5070,00","4680,00","0,00","0,00","4950,00","14700,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"14700,00","14700,00","14700,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"80,00",30,6,0,36,"0,00","5070,00","2160,00","0,00","0,00","4950,00","12180,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"12180,00","12180,00","12180,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"240,00",30,30,48,108,"0,00","5070,00","10800,00","23760,00","0,00","4950,00","44580,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"44580,00","44580,00","44580,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"96,66",20,40,27,87,"0,00","5500,00","17800,00","13365,00","0,00","18000,00","54665,00","0,00","3280,00",0,"0,00",0,"0,00","0,00","0,00",0,"54665,00","57945,00","57945,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"52,22",20,27,0,47,"0,00","5500,00","12015,00","0,00","0,00","18000,00","35515,00","0,00","2131,00",0,"0,00",0,"0,00","0,00","0,00",0,"35515,00","37646,00","37646,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"103,33",20,40,33,93,"0,00","5500,00","17800,00","16335,00","0,00","18000,00","57635,00","0,00","3458,00",0,"0,00",0,"0,00","0,00","0,00",0,"57635,00","61093,00","61093,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"125,55",20,40,53,113,"0,00","5500,00","17800,00","26235,00","0,00","18000,00","67535,00","0,00","4052,00",0,"0,00",0,"0,00","0,00","0,00",0,"67535,00","71587,00","71587,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"36,66",20,13,0,33,"0,00","5500,00","5785,00","0,00","0,00","18000,00","29285,00","0,00","1757,00",0,"0,00",0,"0,00","0,00","0,00",0,"29285,00","31042,00","31042,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"200,00",30,30,30,90,"0,00","5070,00","10800,00","14850,00","0,00","4950,00","35670,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"35670,00","35670,00","35670,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
